Date,BND,XLC,VTV
1926-06-30,,10000.0000000000,
1926-07-01,,9997.9600000000,6.1628245574
1926-07-02,,10023.9200000000,6.1896821468
1926-07-06,,10040.9300000000,6.1893986568
1926-07-07,,10073.0200000000,6.2004979039
1926-07-08,,10113.2800000000,6.2124784348
1926-07-09,,10134.4800000000,6.1666208573
1926-07-12,,10156.7500000000,6.1939344957
1926-07-13,,10159.7600000000,6.2180742795
1926-07-14,,10158.7100000000,6.2106542387
1926-07-15,,10138.3600000000,6.1927450706
1926-07-16,,10144.4000000000,6.2142903052
1926-07-19,,10127.1200000000,6.2142040257
1926-07-20,,10128.1000000000,6.1787369704
1926-07-21,,10123.0000000000,6.1569637112
1926-07-22,,10109.8000000000,6.1217554945
1926-07-23,,10078.4300000000,6.1207324656
1926-07-26,,10107.2200000000,6.1441018964
1926-07-27,,10120.3200000000,6.1680074928
1926-07-28,,10147.6100000000,6.2154427534
1926-07-29,,10139.4600000000,6.2249335032
1926-07-30,,10114.0700000000,6.2562344892
1926-08-02,,10200.6400000000,6.3262010364
1926-08-03,,10162.8600000000,6.3354329476
1926-08-04,,10139.4500000000,6.3206791456
1926-08-05,,10177.9400000000,6.3260284773
1926-08-06,,10188.0800000000,6.3626048410
1926-08-09,,10215.5700000000,6.3675042866
1926-08-10,,10224.7200000000,6.3058082499
1926-08-11,,10217.5300000000,6.2736136544
1926-08-12,,10208.3000000000,6.3378487748
1926-08-13,,10238.8900000000,6.3860297372
1926-08-16,,10315.7600000000,6.4261743763
1926-08-17,,10328.1100000000,6.3786405105
1926-08-18,,10348.7300000000,6.3911756957
1926-08-19,,10345.5800000000,6.3620625125
1926-08-20,,10326.9300000000,6.3529785091
1926-08-23,,10316.5600000000,6.3873670701
1926-08-24,,10298.9900000000,6.3419655416
1926-08-25,,10277.3200000000,6.3256032424
1926-08-26,,10269.0600000000,6.3578471405
1926-08-27,,10292.6500000000,6.3804030784
1926-08-30,,10293.6100000000,6.4326761563
1926-08-31,,10299.7500000000,6.4821636374
1926-09-01,,10332.6800000000,6.5073202873
1926-09-02,,10349.1700000000,6.5163488253
1926-09-03,,10403.9800000000,6.5605054632
1926-09-07,,10465.3300000000,6.5761590376
1926-09-08,,10499.8300000000,6.5435823470
1926-09-09,,10509.2400000000,6.5381282473
1926-09-10,,10526.0200000000,6.4829093392
1926-09-13,,10513.3400000000,6.4609881723
1926-09-14,,10506.9900000000,6.5031234038
1926-09-15,,10494.3500000000,6.4857442385
1926-09-16,,10502.7000000000,6.4703310143
1926-09-17,,10468.0100000000,6.4143417532
1926-09-20,,10449.1000000000,6.4145266379
1926-09-21,,10437.5700000000,6.4343462817
1926-09-22,,10464.6700000000,6.4324481317
1926-09-23,,10508.5800000000,6.4511276530
1926-09-24,,10524.3100000000,6.4867179648
1926-09-27,,10592.7400000000,6.4887763482
1926-09-28,,10579.9900000000,6.4903355428
1926-09-29,,10575.7200000000,6.4703063630
1926-09-30,,10547.1300000000,6.4879505297
1926-10-01,,10543.9200000000,6.5148635845
1926-10-04,,10538.5700000000,6.4288120653
1926-10-05,,10513.2400000000,6.3510557078
1926-10-06,,10498.4900000000,6.3336025887
1926-10-07,,10474.3000000000,6.2992448418
1926-10-08,,10459.6000000000,6.3184728544
1926-10-11,,10432.3900000000,6.2412526627
1926-10-13,,10473.0400000000,6.2864015154
1926-10-14,,10511.7500000000,6.3429947333
1926-10-15,,10515.9200000000,6.2491472409
1926-10-18,,10465.4200000000,6.2546321548
1926-10-19,,10468.5200000000,6.2091689980
1926-10-20,,10481.0400000000,6.1954752019
1926-10-21,,10527.1200000000,6.2887742028
1926-10-22,,10516.5600000000,6.2695831672
1926-10-25,,10510.2100000000,6.2923301526
1926-10-26,,10520.6800000000,6.3121004938
1926-10-27,,10532.2200000000,6.3619330932
1926-10-28,,10532.1800000000,6.3610518092
1926-10-29,,10527.9300000000,6.3547718910
1926-11-01,,10526.8400000000,6.3754974700
1926-11-03,,10540.4800000000,6.3784494630
1926-11-04,,10557.3100000000,6.4242207610
1926-11-05,,10591.0600000000,6.4340258148
1926-11-08,,10662.0800000000,6.5000851313
1926-11-09,,10663.1100000000,6.5016258374
1926-11-10,,10664.1400000000,6.4543816243
1926-11-11,,10661.9700000000,6.4954938270
