Date,SPMOSIM
1972-03-17,10000.0000000000
1972-03-20,10003.8400000000
1972-03-21,9940.4300000000
1972-03-22,9966.1200000000
1972-03-23,10066.7000000000
1972-03-24,10076.0900000000
1972-03-27,10113.2900000000
1972-03-28,10129.5200000000
1972-03-29,10051.0900000000
1972-03-30,10096.3400000000
1972-04-03,10135.0200000000
1972-04-04,10204.5700000000
1972-04-05,10282.4100000000
1972-04-06,10333.6600000000
1972-04-07,10382.1100000000
1972-04-10,10342.7000000000
1972-04-11,10398.4800000000
1972-04-12,10441.2000000000
1972-04-13,10449.7000000000
1972-04-14,10430.3700000000
1972-04-17,10386.6100000000
1972-04-18,10416.8600000000
1972-04-19,10351.1000000000
1972-04-20,10308.1300000000
1972-04-21,10268.3400000000
1972-04-24,10194.1200000000
1972-04-25,10071.7200000000
1972-04-26,10062.1600000000
1972-04-27,10115.0200000000
1972-04-28,10175.0300000000
1972-05-01,10070.9900000000
1972-05-02,10011.9100000000
1972-05-03,10010.4100000000
1972-05-04,10012.4500000000
1972-05-05,10108.9400000000
1972-05-08,10060.9000000000
1972-05-09,9957.4600000000
1972-05-10,10036.5500000000
1972-05-11,10087.3200000000
1972-05-12,10152.7700000000
1972-05-15,10224.7700000000
1972-05-16,10219.8700000000
1972-05-17,10241.5000000000
1972-05-18,10388.0500000000
1972-05-19,10538.1700000000
1972-05-22,10641.3100000000
1972-05-23,10669.9000000000
1972-05-24,10749.8900000000
1972-05-25,10764.3100000000
1972-05-26,10764.4100000000
1972-05-30,10739.2400000000
1972-05-31,10647.3100000000
1972-06-01,10677.5000000000
1972-06-02,10698.7200000000
1972-06-05,10631.9200000000
1972-06-06,10587.0600000000
1972-06-07,10526.7800000000
1972-06-08,10514.2200000000
1972-06-09,10473.6700000000
1972-06-12,10481.9600000000
1972-06-13,10521.4100000000
1972-06-14,10585.3400000000
1972-06-15,10594.7500000000
1972-06-16,10607.0100000000
1972-06-19,10570.5700000000
1972-06-20,10619.8900000000
1972-06-21,10658.0700000000
1972-06-22,10688.9000000000
1972-06-23,10665.9500000000
1972-06-26,10588.1500000000
1972-06-27,10591.4400000000
1972-06-28,10581.2000000000
1972-06-29,10539.4100000000
1972-06-30,10552.7100000000
1972-07-03,10583.9400000000
1972-07-05,10678.4700000000
1972-07-06,10785.6900000000
1972-07-07,10763.1800000000
1972-07-10,10715.9100000000
1972-07-11,10617.4600000000
1972-07-12,10544.4600000000
1972-07-13,10472.4300000000
1972-07-14,10566.9500000000
1972-07-17,10489.6900000000
1972-07-18,10457.5300000000
1972-07-19,10512.4400000000
1972-07-20,10461.0900000000
1972-07-21,10562.7100000000
1972-07-24,10725.6400000000
1972-07-25,10761.0900000000
1972-07-26,10814.0700000000
1972-07-27,10847.5400000000
1972-07-28,10857.3300000000
1972-07-31,10874.1100000000
1972-08-01,10985.4000000000
1972-08-02,11093.7000000000
1972-08-03,11189.2300000000
1972-08-04,11235.6500000000
1972-08-07,11228.1700000000
1972-08-08,11246.0200000000
1972-08-09,11239.2100000000
1972-08-10,11249.3100000000
1972-08-11,11309.7700000000
1972-08-14,11379.4700000000
1972-08-15,11303.2200000000
1972-08-16,11216.2000000000
1972-08-17,11172.2700000000
1972-08-18,11177.9200000000
1972-08-21,11071.8000000000
1972-08-22,11071.6300000000
1972-08-23,11020.3100000000
1972-08-24,10876.7700000000
1972-08-25,10842.6300000000
1972-08-28,10791.9400000000
1972-08-29,10782.1000000000
1972-08-30,10810.1400000000
1972-08-31,10879.6000000000
1972-09-01,10963.8400000000
1972-09-05,10939.2800000000
1972-09-06,10869.8100000000
1972-09-07,10837.4100000000
1972-09-08,10821.7800000000
1972-09-11,10736.7400000000
1972-09-12,10601.7700000000
1972-09-13,10677.2400000000
1972-09-14,10718.7600000000
1972-09-15,10718.2800000000
1972-09-18,10682.9400000000
1972-09-19,10678.7800000000
1972-09-20,10690.5600000000
1972-09-21,10702.0900000000
1972-09-22,10712.0500000000
1972-09-25,10667.4900000000
1972-09-26,10692.5300000000
1972-09-27,10879.1300000000
1972-09-28,10991.2000000000
1972-09-29,11011.4900000000
1972-10-02,10987.5100000000
1972-10-03,10999.0200000000
1972-10-04,10942.0700000000
1972-10-05,10764.3600000000
1972-10-06,10863.1400000000
1972-10-09,10908.5400000000
1972-10-10,10949.8800000000
1972-10-11,10908.7000000000
1972-10-12,10758.9800000000
1972-10-13,10676.2600000000
1972-10-16,10539.8900000000
1972-10-17,10620.5600000000
1972-10-18,10700.2500000000
1972-10-19,10691.3800000000
1972-10-20,10847.9400000000
1972-10-23,10988.2900000000
1972-10-24,11042.7500000000
1972-10-25,11016.4300000000
1972-10-26,11050.1000000000
1972-10-27,11031.2900000000
1972-10-30,11058.7800000000
1972-10-31,11157.3200000000
1972-11-01,11273.7700000000
1972-11-02,11343.8400000000
1972-11-03,11447.9000000000
1972-11-06,11357.2200000000
1972-11-08,11236.9400000000
1972-11-09,11238.9500000000
1972-11-10,11206.6000000000
1972-11-13,11222.9200000000
1972-11-14,11316.5700000000
1972-11-15,11216.2000000000
1972-11-16,11265.7500000000
1972-11-17,11270.5700000000
1972-11-20,11235.6800000000
1972-11-21,11292.4200000000
1972-11-22,11318.2200000000
1972-11-24,11320.4200000000
1972-11-27,11286.5000000000
1972-11-28,11264.8900000000
1972-11-29,11288.7400000000
1972-11-30,11305.1300000000
1972-12-01,11382.6100000000
1972-12-04,11450.9700000000
1972-12-05,11444.9100000000
1972-12-06,11514.8300000000
1972-12-07,11623.7100000000
1972-12-08,11675.1800000000
1972-12-11,11722.6900000000
1972-12-12,11664.0700000000
1972-12-13,11646.9300000000
1972-12-14,11628.8300000000
1972-12-15,11654.4900000000
1972-12-18,11534.9200000000
1972-12-19,11461.0100000000
1972-12-20,11437.1500000000
1972-12-21,11368.0100000000
1972-12-22,11438.3000000000
1972-12-26,11478.7300000000
1972-12-27,11539.0600000000
1972-12-29,11673.2700000000
1973-01-02,11777.2800000000
1973-01-03,11852.4200000000
1973-01-04,11819.0600000000
1973-01-05,11862.9700000000
1973-01-08,11869.2800000000
1973-01-09,11869.7000000000
1973-01-10,11816.4000000000
1973-01-11,11896.6300000000
1973-01-12,11822.8100000000
1973-01-15,11755.6500000000
1973-01-16,11727.4800000000
1973-01-17,11786.3400000000
1973-01-18,11834.2900000000
1973-01-19,11847.1900000000
1973-01-22,11807.4000000000
1973-01-23,11864.8000000000
1973-01-24,11735.4200000000
1973-01-26,11669.3500000000
1973-01-29,11589.7500000000
1973-01-30,11572.1900000000
1973-01-31,11601.7600000000
1973-02-01,11491.8500000000
1973-02-02,11463.0200000000
1973-02-05,11474.0400000000
1973-02-06,11510.9200000000
1973-02-07,11457.1600000000
1973-02-08,11421.0200000000
1973-02-09,11611.7300000000
1973-02-12,11807.8400000000
1973-02-13,11940.8800000000
1973-02-14,11757.7200000000
1973-02-15,11666.2400000000
1973-02-16,11711.2100000000
1973-02-20,11747.0100000000
1973-02-21,11669.7900000000
1973-02-22,11638.3200000000
1973-02-23,11481.0800000000
1973-02-26,11379.9400000000
1973-02-27,11228.0500000000
1973-02-28,11339.6600000000
