Date,SPYSIM,QQQSIM,XLBSIM,XLCSIM,XLESIM,XLFSIM,XLISIM,XLKSIM,XLPSIM,ZVOLSIM,XLUSIM,XLVSIM,XLYSIM,KMLMSIM,GLDSIM,SLVSIM,SVIXSIM,TLTSIM,ZROZSIM,VXUSSIM,VTISIM,DBMFSIM,VIXSIM,GSGSIM,IEFSIM,IEISIM,SHYSIM,CASHX,CAOSSIM,FNGUSIM,MCISIM,GDESIM,BTCSIM,ETHSIM,VOOSIM,OEFSIM,MDYSIM,IJRSIM,IWMSIM,VEASIM,VWOSIM,VSSSIM,EFVSIM,VTSIM,VTVSIM,VUGSIM,VOSIM,VOESIM,VOTSIM,VBSIM,VBRSIM,VBKSIM,IWCSIM,TIPSIM,BNDSIM,REITSIM,INFLATION,RSSBSIM,UVIXSIM1,UVIXSIM2,VIXMSIM,VXZSIM,BTALSIM,USMVSIM,MTUMSIM,LTPZSIM,UUPSIM,NTSDSIM,EFASIM,VCITSIM,STIPSIM,UDNSIM
1885-03-20,10000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.000000,,,,,,,,,,,,,,,
1885-03-23,9921.660000,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.990000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9977.710000,,,,,,,,,,,,,,,
1885-03-24,9814.430000,,,,,,,,,,,,,,,,,,,,,,,,,,,10001.970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9970.270000,,,,,,,,,,,,,,,
1885-03-25,9899.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.960000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9962.840000,,,,,,,,,,,,,,,
1885-03-26,9981.810000,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9955.410000,,,,,,,,,,,,,,,
1885-03-27,9988.100000,,,,,,,,,,,,,,,,,,,,,,,,,,,10004.930000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9947.980000,,,,,,,,,,,,,,,
1885-03-30,9860.230000,,,,,,,,,,,,,,,,,,,,,,,,,,,10005.920000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9925.690000,,,,,,,,,,,,,,,
1885-03-31,9897.480000,,,,,,,,,,,,,,,,,,,,,,,,,,,10006.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9918.250000,,,,,,,,,,,,,,,
1885-04-01,9909.960000,,,,,,,,,,,,,,,,,,,,,,,,,,,10007.890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9922.300000,,,,,,,,,,,,,,,
1885-04-02,9930.700000,,,,,,,,,,,,,,,,,,,,,,,,,,,10008.870000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9926.340000,,,,,,,,,,,,,,,
1885-04-06,9914.280000,,,,,,,,,,,,,,,,,,,,,,,,,,,10009.850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9942.500000,,,,,,,,,,,,,,,
1885-04-07,9788.480000,,,,,,,,,,,,,,,,,,,,,,,,,,,10010.840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9946.550000,,,,,,,,,,,,,,,
1885-04-08,9825.730000,,,,,,,,,,,,,,,,,,,,,,,,,,,10011.820000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9950.590000,,,,,,,,,,,,,,,
1885-04-09,10071.430000,,,,,,,,,,,,,,,,,,,,,,,,,,,10012.810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9954.630000,,,,,,,,,,,,,,,
1885-04-10,9968.330000,,,,,,,,,,,,,,,,,,,,,,,,,,,10013.790000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9958.670000,,,,,,,,,,,,,,,
1885-04-13,10131.470000,,,,,,,,,,,,,,,,,,,,,,,,,,,10014.780000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9970.800000,,,,,,,,,,,,,,,
1885-04-14,10176.980000,,,,,,,,,,,,,,,,,,,,,,,,,,,10015.760000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9974.840000,,,,,,,,,,,,,,,
1885-04-15,10360.750000,,,,,,,,,,,,,,,,,,,,,,,,,,,10016.740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9978.880000,,,,,,,,,,,,,,,
1885-04-16,10267.980000,,,,,,,,,,,,,,,,,,,,,,,,,,,10017.730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9982.920000,,,,,,,,,,,,,,,
