Date,SVIX
2005-12-20,10000.0000000000
2005-12-21,10169.9300000000
2005-12-22,10275.8300000000
2005-12-23,10469.6900000000
2005-12-27,10382.3300000000
2005-12-28,10383.2300000000
2005-12-29,10453.0700000000
2005-12-30,10327.1000000000
2006-01-03,10570.3800000000
2006-01-04,10744.9900000000
2006-01-05,10757.8300000000
2006-01-06,10958.3300000000
2006-01-09,11143.4700000000
2006-01-10,11292.9600000000
2006-01-11,11462.3700000000
2006-01-12,11345.4400000000
2006-01-13,11345.2400000000
2006-01-17,11149.0200000000
2006-01-18,11045.1600000000
2006-01-19,11171.5900000000
2006-01-20,10784.6800000000
2006-01-23,10686.6000000000
2006-01-24,10758.2100000000
2006-01-25,10876.6200000000
2006-01-26,11207.1700000000
2006-01-27,11417.1400000000
2006-01-30,11564.8700000000
2006-01-31,11570.6200000000
2006-02-01,11519.6300000000
2006-02-02,11429.8300000000
2006-02-03,11406.7300000000
2006-02-06,11472.7600000000
2006-02-07,11370.0800000000
2006-02-08,11629.5000000000
2006-02-09,11781.4500000000
2006-02-10,11782.1900000000
2006-02-13,11509.0300000000
2006-02-14,11745.4100000000
2006-02-15,11680.5600000000
2006-02-16,11919.8500000000
2006-02-17,11964.3100000000
2006-02-21,12063.5600000000
2006-02-22,12426.8200000000
2006-02-23,12347.0500000000
2006-02-24,12534.4300000000
2006-02-27,12668.4600000000
2006-02-28,12431.8600000000
2006-03-01,12499.0400000000
2006-03-02,12488.7900000000
2006-03-03,12570.8300000000
2006-03-06,12287.1000000000
2006-03-07,12168.7600000000
2006-03-08,12396.5800000000
2006-03-09,12306.0200000000
2006-03-10,12333.4800000000
2006-03-13,12485.2100000000
2006-03-14,12711.8600000000
2006-03-15,12656.0100000000
2006-03-16,12853.8600000000
2006-03-17,12878.2700000000
2006-03-20,12708.7700000000
2006-03-21,12702.4800000000
2006-03-22,12902.1800000000
2006-03-23,12184.8800000000
2006-03-24,12826.1900000000
2006-03-27,12812.2300000000
2006-03-28,12817.8100000000
2006-03-29,13063.8600000000
2006-03-30,13200.0200000000
2006-03-31,13056.1600000000
2006-04-03,13188.5200000000
2006-04-04,13199.0000000000
2006-04-05,13314.2900000000
2006-04-06,13375.1800000000
2006-04-07,13174.0600000000
2006-04-10,13033.5000000000
2006-04-11,12769.2500000000
2006-04-12,12748.1400000000
2006-04-13,12764.5800000000
2006-04-17,12704.8700000000
2006-04-18,13009.6600000000
2006-04-19,13080.3700000000
2006-04-20,13233.0200000000
2006-04-21,13077.6100000000
2006-04-24,13106.0400000000
2006-04-25,13079.0100000000
2006-04-26,13251.2800000000
2006-04-27,13345.5800000000
2006-04-28,13442.8300000000
2006-05-01,13277.8300000000
2006-05-02,13392.7800000000
2006-05-03,13283.9000000000
2006-05-04,13332.7800000000
2006-05-05,13501.9100000000
2006-05-08,13479.9000000000
2006-05-09,13502.1200000000
2006-05-10,13489.8600000000
2006-05-11,13194.8700000000
2006-05-12,12681.2600000000
2006-05-15,12657.5500000000
2006-05-16,12887.6000000000
2006-05-17,11591.6100000000
2006-05-18,11510.6500000000
2006-05-19,11203.3200000000
2006-05-22,10563.1400000000
2006-05-23,10775.5300000000
2006-05-24,10258.8900000000
2006-05-25,10684.7200000000
2006-05-26,10948.1800000000
2006-05-30,10159.0000000000
2006-05-31,10278.8400000000
2006-06-01,10640.4700000000
2006-06-02,10919.4600000000
2006-06-05,10380.5200000000
2006-06-06,9964.8300000000
2006-06-07,9844.9200000000
2006-06-08,9547.2500000000
2006-06-09,9366.5100000000
2006-06-12,9098.4600000000
2006-06-13,8377.9100000000
2006-06-14,8018.7400000000
2006-06-15,9308.5700000000
2006-06-16,9206.5000000000
2006-06-19,9066.2400000000
2006-06-20,9178.0900000000
2006-06-21,9758.7900000000
2006-06-22,9748.9300000000
2006-06-23,9857.7400000000
2006-06-26,9831.0900000000
2006-06-27,9575.1900000000
2006-06-28,9566.3400000000
2006-06-29,10377.7900000000
2006-06-30,10607.9700000000
2006-07-03,10855.4000000000
2006-07-05,10382.9800000000
2006-07-06,10436.7300000000
2006-07-07,10307.3500000000
2006-07-10,10238.5000000000
2006-07-11,10474.2900000000
2006-07-12,10037.6600000000
2006-07-13,9408.3300000000
2006-07-14,9044.3200000000
2006-07-17,9109.9300000000
2006-07-18,9218.5100000000
2006-07-19,9744.6800000000
2006-07-20,9524.6000000000
2006-07-21,9306.5300000000
2006-07-24,9904.7300000000
2006-07-25,10197.8800000000
2006-07-26,10302.3500000000
2006-07-27,9986.6100000000
2006-07-28,10331.4400000000
2006-07-31,10108.4000000000
2006-08-01,9994.0400000000
2006-08-02,10142.4000000000
2006-08-03,10250.6900000000
2006-08-04,10119.7600000000
2006-08-07,10031.6400000000
2006-08-08,9993.5000000000
2006-08-09,10151.5000000000
2006-08-10,10057.7400000000
2006-08-11,10039.1200000000
2006-08-14,10433.8700000000
2006-08-15,10574.1700000000
2006-08-16,11013.8000000000
2006-08-17,11132.5700000000
2006-08-18,11278.6000000000
2006-08-21,11364.6900000000
2006-08-22,11492.1300000000
2006-08-23,11247.3200000000
2006-08-24,11330.9000000000
2006-08-25,11614.1600000000
2006-08-28,11725.4000000000
2006-08-29,11565.4400000000
2006-08-30,11694.6900000000
2006-08-31,11871.6200000000
2006-09-01,12081.6100000000
2006-09-05,12023.0000000000
2006-09-06,11497.3100000000
2006-09-07,11396.8700000000
2006-09-08,11492.9400000000
2006-09-11,11393.0300000000
2006-09-12,12011.2000000000
2006-09-13,12199.5200000000
2006-09-14,12033.9500000000
2006-09-15,12242.6300000000
2006-09-18,12178.5100000000
2006-09-19,12130.5900000000
2006-09-20,12467.4000000000
2006-09-21,12105.6900000000
2006-09-22,12078.1900000000
2006-09-25,12510.3500000000
2006-09-26,12707.0900000000
2006-09-27,12689.2400000000
2006-09-28,12726.7300000000
2006-09-29,12631.2400000000
2006-10-02,12575.8200000000
2006-10-03,12579.3500000000
2006-10-04,13203.7200000000
2006-10-05,13345.8800000000
2006-10-06,13264.9500000000
2006-10-09,13523.5000000000
2006-10-10,13888.5300000000
2006-10-11,14089.6600000000
2006-10-12,14416.7600000000
2006-10-13,14606.1600000000
2006-10-16,14991.9800000000
2006-10-17,14733.6800000000
2006-10-18,14685.6400000000
2006-10-19,14907.8200000000
2006-10-20,15096.0600000000
2006-10-23,15483.3800000000
2006-10-24,15709.2400000000
2006-10-25,16103.4600000000
2006-10-26,16469.5400000000
2006-10-27,16358.4500000000
2006-10-30,16384.2300000000
2006-10-31,16471.4900000000
