Date,SPYSIM,QQQSIM,XLBSIM,XLCSIM,XLESIM,XLFSIM,XLISIM,XLKSIM,XLPSIM,ZVOLSIM,XLUSIM,XLVSIM,XLYSIM,KMLMSIM,GLDSIM,SLVSIM,SVIXSIM,TLTSIM,ZROZSIM,VXUSSIM,VTISIM,DBMFSIM,VIXSIM,GSGSIM,IEFSIM,IEISIM,SHYSIM,CASHX,CAOSSIM,FNGUSIM,MCISIM,GDESIM,BTCSIM,ETHSIM,VOOSIM,OEFSIM,MDYSIM,IJRSIM,IWMSIM,VEASIM,VWOSIM,VSSSIM,EFVSIM,VTSIM,VTVSIM,VUGSIM,VOSIM,VOESIM,VOTSIM,VBSIM,VBRSIM,VBKSIM,IWCSIM,TIPSIM,BNDSIM,REITSIM,INFLATION,RSSBSIM,UVIXSIM1,UVIXSIM2,VIXMSIM,VXZSIM,USMVSIM,MTUMSIM,EFASIM,VCITSIM,STIPSIM,LTPZSIM,NTSDSIM,UUPSIM
1885-03-20,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,,
1885-03-23,9921.66,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9977.71,,,,,,,,,,,,,
1885-03-24,9814.43,,,,,,,,,,,,,,,,,,,,,,,,,,,10001.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9970.27,,,,,,,,,,,,,
1885-03-25,9899.15,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9962.84,,,,,,,,,,,,,
1885-03-26,9981.81,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9955.41,,,,,,,,,,,,,
1885-03-27,9988.1,,,,,,,,,,,,,,,,,,,,,,,,,,,10004.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9947.98,,,,,,,,,,,,,
1885-03-30,9860.23,,,,,,,,,,,,,,,,,,,,,,,,,,,10005.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9925.69,,,,,,,,,,,,,
1885-03-31,9897.48,,,,,,,,,,,,,,,,,,,,,,,,,,,10006.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9918.25,,,,,,,,,,,,,
1885-04-01,9909.96,,,,,,,,,,,,,,,,,,,,,,,,,,,10007.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9922.3,,,,,,,,,,,,,
1885-04-02,9930.7,,,,,,,,,,,,,,,,,,,,,,,,,,,10008.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9926.34,,,,,,,,,,,,,
1885-04-06,9914.28,,,,,,,,,,,,,,,,,,,,,,,,,,,10009.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9942.5,,,,,,,,,,,,,
1885-04-07,9788.48,,,,,,,,,,,,,,,,,,,,,,,,,,,10010.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9946.55,,,,,,,,,,,,,
1885-04-08,9825.73,,,,,,,,,,,,,,,,,,,,,,,,,,,10011.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9950.59,,,,,,,,,,,,,
1885-04-09,10071.43,,,,,,,,,,,,,,,,,,,,,,,,,,,10012.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9954.63,,,,,,,,,,,,,
1885-04-10,9968.33,,,,,,,,,,,,,,,,,,,,,,,,,,,10013.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9958.67,,,,,,,,,,,,,
1885-04-13,10131.47,,,,,,,,,,,,,,,,,,,,,,,,,,,10014.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9970.8,,,,,,,,,,,,,
1885-04-14,10176.98,,,,,,,,,,,,,,,,,,,,,,,,,,,10015.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9974.84,,,,,,,,,,,,,
1885-04-15,10360.75,,,,,,,,,,,,,,,,,,,,,,,,,,,10016.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9978.88,,,,,,,,,,,,,
1885-04-16,10267.98,,,,,,,,,,,,,,,,,,,,,,,,,,,10017.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9982.92,,,,,,,,,,,,,
1885-04-17,10202.03,,,,,,,,,,,,,,,,,,,,,,,,,,,10018.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9986.96,,,,,,,,,,,,,
1885-04-20,10204.19,,,,,,,,,,,,,,,,,,,,,,,,,,,10019.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.09,,,,,,,,,,,,,
1885-04-21,10181.58,,,,,,,,,,,,,,,,,,,,,,,,,,,10020.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.13,,,,,,,,,,,,,
1885-04-22,10212.64,,,,,,,,,,,,,,,,,,,,,,,,,,,10021.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10007.17,,,,,,,,,,,,,
1885-04-23,10229.24,,,,,,,,,,,,,,,,,,,,,,,,,,,10022.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10011.21,,,,,,,,,,,,,
1885-04-24,10183.94,,,,,,,,,,,,,,,,,,,,,,,,,,,10023.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10015.25,,,,,,,,,,,,,
1885-04-27,10196.42,,,,,,,,,,,,,,,,,,,,,,,,,,,10024.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10027.38,,,,,,,,,,,,,
1885-04-28,10221.28,,,,,,,,,,,,,,,,,,,,,,,,,,,10025.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10031.42,,,,,,,,,,,,,
1885-04-29,10237.88,,,,,,,,,,,,,,,,,,,,,,,,,,,10026.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10035.46,,,,,,,,,,,,,
1885-04-30,10271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10027.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10039.5,,,,,,,,,,,,,
1885-05-01,10205.05,,,,,,,,,,,,,,,,,,,,,,,,,,,10028.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10032.07,,,,,,,,,,,,,
1885-05-04,9930.67,,,,,,,,,,,,,,,,,,,,,,,,,,,10029.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10009.78,,,,,,,,,,,,,
1885-05-05,9883.3,,,,,,,,,,,,,,,,,,,,,,,,,,,10030.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.35,,,,,,,,,,,,,
1885-05-06,9988.65,,,,,,,,,,,,,,,,,,,,,,,,,,,10031.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9994.92,,,,,,,,,,,,,
1885-05-07,9887.62,,,,,,,,,,,,,,,,,,,,,,,,,,,10032.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9987.48,,,,,,,,,,,,,
1885-05-08,10023.93,,,,,,,,,,,,,,,,,,,,,,,,,,,10033.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9980.05,,,,,,,,,,,,,
1885-05-11,9984.81,,,,,,,,,,,,,,,,,,,,,,,,,,,10034.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9957.76,,,,,,,,,,,,,
